QSB Real Pinning Search (seq+lt) [GPU 0]
  GPU: NVIDIA GeForce RTX 4090 (128 SMs)
  Isomorphic recovery coordinates: xR'=+1
  GTable built on GPU in 0.74s (153175181 points, 9349 MiB total, spot check passed)
  Full suffix: 75 bytes, seq@31, lt@67
  Mode: REAL
  SHA path: per-sequence midstate + one static tail block
  X3 h*h correction cut: off
  Host publication gate: on; C31 approx: off
  L2 persistence: 50 MiB pinned (max 50 MiB, window 128 MiB) ok
  Slot pipeline: 2 in-flight batches, own stream/state/hit buffers per slot
  Pipeline checkpoints: 512 MiB state + 0 MiB tree + 4 MiB roots + 2.01 MiB root tree

  === Search: lt=[500000768,500000897) (129), seq=[0x80000020+], GPU 0 (global 0 of 1) ===
QSB_TRACE seq=2147483680 lt=500000845 ri=0 hash=543bd199ce81ab3b0766c40c8f5b13834f6c65daac5aa511514a84da20646986
QSB_TRACE seq=2147483680 lt=500000846 ri=0 hash=36b65bb339d10b28617fae45c910c54be2c9b92a390aa770f01baf0d6f6cd259
QSB_TRACE seq=2147483680 lt=500000847 ri=0 hash=6f446aff019b32608b0c3e8cf3d3a7a2ca64b1cd859142208eac8521ba27c58e
QSB_TRACE seq=2147483680 lt=500000848 ri=0 hash=7dfd3331f3c3784c1109fb09df1be4f5ce6ffc033813a68463e3df33150e4c54
QSB_TRACE seq=2147483680 lt=500000849 ri=0 hash=e337512dbfe926b544a227059497dfebccb8004900c3204e68380fd9a3866c89
QSB_TRACE seq=2147483680 lt=500000850 ri=0 hash=47e83baf974db40473794a6f6050b1c3c6f5ff406129365e72ef0888a0aff7d8
QSB_TRACE seq=2147483680 lt=500000851 ri=0 hash=65efaa760316e576f2749e9e7d041230e42d55fa97f2ab45cbdba325f381949c
QSB_TRACE seq=2147483680 lt=500000852 ri=0 hash=c7415d9e4732410e0b85c692924763e93e9686804357f23b494aa0cfe5082c4f
QSB_TRACE seq=2147483680 lt=500000853 ri=0 hash=f76395712067e762e2c5d304c24deb4bc271da5742b790e5a7b7e73744e53957
QSB_TRACE seq=2147483680 lt=500000854 ri=0 hash=127c6b909f9ee4bd8def5260c0dfd5598ec982b83feebcbdc4cf9d0632a19276
QSB_TRACE seq=2147483680 lt=500000855 ri=0 hash=4d86abd5d4d868cf7e6c78a3cc0284402b74d82a03161b5d7f5d3476f2aab3d9
QSB_TRACE seq=2147483680 lt=500000856 ri=0 hash=12d3b629c30eb6d6bc152a80afdd936ea47c7f00527607eb14e06694806242e3
QSB_TRACE seq=2147483680 lt=500000857 ri=0 hash=c718dcb9789189a51cc2e6789b02e43eecce9d2bb112babfd15710a49d03d88d
QSB_TRACE seq=2147483680 lt=500000858 ri=0 hash=e639caa63479b182672dbcc1309c55c5f707b19e3c1f1951310f6e4ad50c0962
QSB_TRACE seq=2147483680 lt=500000859 ri=0 hash=05ce8032f037f1427d74e4bc9d50156e15147dbfab07db48645f52ca1fb8bae0
QSB_TRACE seq=2147483680 lt=500000860 ri=0 hash=aea8b6b2f96397336c28edde28808cc7631957b487d597965320016dca2d9de1
QSB_TRACE seq=2147483680 lt=500000861 ri=0 hash=f3b9c7e891634e705769f2d5ff2368b7412c2e1d79a7e3171b9f2574ae1d586c
QSB_TRACE seq=2147483680 lt=500000862 ri=0 hash=414e7f5517bb6c4a3cb0c0ec354bd7d42a6a4d608a954bc61ba82f4e01d47274
QSB_TRACE seq=2147483680 lt=500000863 ri=0 hash=ae95537c8dd2a229f1ce0da6fc558b0dfbb2c4d44589baed7cc3219e04ecfb20
